Datum,Erstimpfung,Zweitimpfung,Gesamtzahl verabreichter Impfstoffdosen
27/12/2020,23555,0,23555
28/12/2020,18745,0,18745
29/12/2020,42579,0,42579
30/12/2020,57946,0,57946
31/12/2020,38621,0,38621
01/01/2021,24754,0,24754
02/01/2021,51891,0,51891
03/01/2021,24990,0,24990
04/01/2021,48606,0,48606
05/01/2021,52391,0,52391
06/01/2021,58698,0,58698
07/01/2021,58403,0,58403
08/01/2021,60425,0,60425
09/01/2021,57236,0,57236
10/01/2021,33289,0,33289
11/01/2021,65672,0,65672
12/01/2021,82140,0,82140
13/01/2021,99077,0,99077
14/01/2021,100054,114,100168
15/01/2021,92254,429,92683
16/01/2021,56716,397,57113
17/01/2021,30942,13610,44552
18/01/2021,57818,16410,74228
19/01/2021,67896,27231,95127
20/01/2021,78105,50654,128759
21/01/2021,60592,35434,96026
22/01/2021,84042,31289,115331
23/01/2021,48794,43805,92599
24/01/2021,38073,28027,66100
25/01/2021,57745,39594,97339
26/01/2021,53109,49563,102672
27/01/2021,54022,58970,112992
28/01/2021,51625,48922,100547
29/01/2021,55798,53468,109266
30/01/2021,39535,47748,8783
31/01/2021,31320,31352,6272
01/02/2021,49699,65927,115626
02/02/2021,57811,69772,127583
03/02/2021,57619,84741,142360
04/02/2021,62972,72520,135492
05/02/2021,59154,72883,132037
06/02/2021,48586,55159,103745
07/02/2021,32879,26519,5998
08/02/2021,55742,51623,107365
09/02/2021,59939,64760,124699
10/02/2021,74965,74201,149166
11/02/2021,71206,7212,143618
12/02/2021,79752,7808,157760
13/02/2021,63233,4624,109857
14/02/2021,39778,2685,66763
15/02/2021,70751,56025,126776
16/02/2021,81375,54744,136119
17/02/2021,94295,54620,148915
18/02/2021,92926,52025,144951
19/02/2021,96504,53532,150036
20/02/2021,74887,37611,112498
21/02/2021,56650,28943,85593
22/02/2021,99061,52640,151701
23/02/2021,103698,55370,159068
24/02/2021,115987,57423,173410
25/02/2021,126264,51504,177768
26/02/2021,132766,57468,190234
27/02/2021,106896,3851,145411
2/02/2021,85568,27653,113221
01/03/2021,138451,49291,18774
02/03/201,153763,54331,208094
03/03/2021,140754,5098,191692
