Bundesland,Gesamt,BioNTech,Moderna,AstraZeneca,Differenz zum Vortag,Impf-quote
Baden-Württemberg,587809,470983,30803,86023,22516,5.295388614133876
Bayern,767969,636768,26260,104941,2403,5.8513096300520155
Berlin,201025,166199,7723,27103,5839,5.478280230146361
Brandenburg,117854,89140,4207,24507,4693,4.673235541714101
Bremen,41743,31490,2169,8084,2149,6.127844604096875
Hamburg,108141,84001,1807,22333,2911,5.854152084202868
Hessen,321415,281244,10239,29932,11167,5.111496673070317
Mecklenburg-Vorpommern,87249,76652,4820,5777,3256,5.425467217365674
Niedersachsen,409203,346798,12628,49777,16082,5.119127683018732
Nordrhein-Westfalen,959746,794705,21634,143407,33483,5.347602283384152
Rheinland-Pfalz,239974,190300,4536,45138,9540,5.861741228358366
Saarland,59748,45901,1854,11993,3302,6.054188574781104
Sachsen,235347,211510,11594,12243,8597,5.779682615617842
Sachsen-Anhalt,111342,87410,5498,18434,5013,5.073032310270451
Schleswig-Holstein,162163,131025,4981,26157,6790,5.584561878631698
Thüringen,127282,104352,8320,14610,2423,5.966218832293199
"Bund (Einsatzkräfte Bundeswehr, Bundespolizei)",3379,2654,0,725,590,-
Gesamt,4541389,3751132,159073,631184,140754,5.460585065098943
