Bundesland,Gesamt,BioNTech,Moderna,Differenz zum Vortag,"Impf-quote, %"
Baden-Württemberg,292124,286137,5987,8815,2.631654335873123
Bayern,382160,371456,10704,2057,2.911753584090866
Berlin,124144,121162,2982,2090,3.383139514444919
Brandenburg,76295,74730,1565,432,3.0253067834360934
Bremen,21945,20692,1253,323,3.2215113872243477
Hamburg,56710,55998,712,1448,3.0699638869174932
Hessen,151820,151664,156,6164,2.4144094858844034
Mecklenburg-Vorpommern,51793,50606,1187,1110,3.2206813096885964
Niedersachsen,181638,179443,2195,4770,2.272290560157566
Nordrhein-Westfalen,449292,442428,6864,14989,2.5034070734405063
Rheinland-Pfalz,140571,136840,3731,219,3.4336670898162462
Saarland,24397,23451,946,523,2.4721168684965957
Sachsen,103601,102563,1038,2703,2.5442469997944483
Sachsen-Anhalt,56595,55435,1160,1669,2.5786160083324905
Schleswig-Holstein,93419,91979,1440,1180,3.217159192540188
Thüringen,64282,63748,534,2445,3.0131556620533257
"Bund (Einsatzkräfte Bundeswehr, Bundespolizei)",998,997,0,1,-
Gesamt,2271784,2229329,42454,50938,2.731602551891225
